qry,chamber,url,comb_text,sc_relevance_score
Abby Finkenauer,Rep,https://twitter.com/Abby4Iowa/status/1320387597479383042?ref_src=twsrc^google|twcamp^serp|twgr^tweet,"https://twitter.com/abby4iowa/status/1320387597479383042?ref_src=twsrc^google|twcamp^serp|twgr^tweet recently, i got asked what folks might not know about me.

surprise! i'm a heck of a bass fisher! ðŸŽ£

#ia01, where's your favorite spot in iowa to go fishing?",1
Abby Finkenauer,Rep,https://twitter.com/Abby4Iowa/status/1300963598316048385?ref_src=twsrc^google|twcamp^serp|twgr^tweet,"https://twitter.com/abby4iowa/status/1300963598316048385?ref_src=twsrc^google|twcamp^serp|twgr^tweet i am honored to be endorsed by the @uschamber, the nation's largest and oldest advocacy organization for businesses and economic growth. iâ€™m proud to work across the aisle to grow our small businesses and ensure our workers have good jobs at good wages. #ia01",1
Abby Finkenauer,Rep,https://twitter.com/Abby4Iowa/status/1303872376355147778?ref_src=twsrc^google|twcamp^serp|twgr^tweet,"https://twitter.com/abby4iowa/status/1303872376355147778?ref_src=twsrc^google|twcamp^serp|twgr^tweet had a great time today chatting with @iowasafeschools about everything from turkey dressing sandwiches to the importance of labor unions to the landmark '07 vote to add sexual orientation to the iowa civil rights act. 

watch the whole rainbow forum: facebook.com/iowasafescâ€¦ #ia01",1
Abby Finkenauer,Rep,https://www.billtrack50.com/legislatordetail/20156,"c(""legislator detail | billtrack50 https://www.billtrack50.com/legislatordetail/20156  "", ""legislator detail | billtrack50 https://www.billtrack50.com/legislatordetail/20156 congresswoman  abby finkenauer  is honored to be the voice for the people of northeast iowa's first congressional district as their representative inÂ ... "", ""abby finkenauer - legislator detail | billtrack50 https://www.billtrack50.com/legislatordetail/20156  "", ""abby finkenauer - billtrack50 https://www.billtrack50.com/legislatordetail/20156  ""
)",1
Abby Finkenauer,Rep,https://www.iowapublicradio.org/ipr-news/2020-11-04/hinson-pledges-to-work-across-the-aisle-as-finkenauer-concedes-in-1st-congressional-district,"hinson pledges to work across the aisle as ... https://www.iowapublicradio.org/ipr-news/2020-11-04/hinson-pledges-to-work-across-the-aisle-as-finkenauer-concedes-in-1st-congressional-district â€œwe must never give up hope that we can be an iowa and a country defined by compassion, empathy, grit and determination to get t...more",1
Abby Finkenauer,Rep,https://cbs2iowa.com/news/local/iowa-lawmakers-launch-covid-19-data-accuracy-act,iowa lawmakers launch covid-19 data accuracy  | act | kgan | Â· | 16 hours ago https://cbs2iowa.com/news/local/iowa-lawmakers-launch-covid-19-data-accuracy-act,1
Adam Kinzinger,Rep,https://twitter.com/RepKinzinger/status/1357346911011840008,https://twitter.com/repkinzinger/status/1357346911011840008,1
Adam Kinzinger,Rep,https://twitter.com/RepKinzinger/status/1357529032204689409?ref_src=twsrc^google|twcamp^serp|twgr^tweet,https://twitter.com/repkinzinger/status/1357529032204689409?ref_src=twsrc^google|twcamp^serp|twgr^tweet truth bomb to gop from ben sasse.  youtu.be/-jcnuhnetkg via @youtube,1
Adam Kinzinger,Rep,https://www.daily-chronicle.com/2020/09/23/send-kinzinger-back-to-channahon/aumdhcf/,"c(""send kinzinger back to channahon | daily chronicle | Â· | 11 hours ago https://www.daily-chronicle.com/2020/09/23/send-kinzinger-back-to-channahon/aumdhcf/  "", ""send kinzinger back to channahon | daily chronicle | Â· | 13 hours ago https://www.daily-chronicle.com/2020/09/23/send-kinzinger-back-to-channahon/aumdhcf/  "", ""send kinzinger back to channahon | daily chronicle | Â· | 1 day ago https://www.daily-chronicle.com/2020/09/23/send-kinzinger-back-to-channahon/aumdhcf/  "")",1
Adam Kinzinger,Rep,https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/,"c(""outspoken rockford republican seeks kinzinger  | censure, disavowal over trump \nimpeachment | rockford register star | Â· | 2 days ago https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/  "", "". | outspoken rockford  | republican seeks  | kinzinger censure,  | disavowal over trump \nimpeachment | . | 11 hours ago https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/  "", 
""outspoken rockford republican seeks kinzinger  | censure, disavowal over trump \nimpeachment | rockford register star | Â· | 11 hours ago https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/  "", "". | outspoken rockford  | republican seeks  | kinzinger censure,  | disavowal over trump \nimpeachment | . | 1 day ago https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/  "", 
""rockford republican seeks kinzinger censure, disavowal ... https://www.rrstar.com/story/news/politics/elections/2021/01/22/rockford-austin-davies-adam-kinzinger-trump-impeachment-illinois-update/6677235002/  "")",1
